title,originalTitle,imdbID,runtime,originalLanguage,originCountry,plot,releaseDate,homepage,budget,revenue,tmdbRating,tmdbVotes,popularity,director,actors,awards,imdbVotes,imdbRating,metacriticRating,rottenTomatoesRating,mpaFilmRating,genre
Prey,Prey,tt27682129,86,en,['US'],A young couple is compelled to leave their Christian missionary station in the Kalahari Desert after being threatened with death by an extremist militant gang. After crashing their aircraft they must battle man and beast for their lives.,2024-03-15,,,,6.2,309,15.9129,Mukunda Michael Dewil,"Ryan Phillippe, Emile Hirsch, Mena Suvari",,3216.0,3.7,,,,"['Action', 'Thriller']"
Cash Out,Cash Out,tt24131288,90,en,['US'],"Criminal mastermind Mason is about to execute the score of a lifetime when his lover and key member of his crew, Decker, takes the team down and reveals she’s an undercover Interpol agent. Heartbroken, Mason escapes and retires from the life of crime until his younger brother Shawn is out of his league taking on a big bank heist all on his own. Mason has no choice left but to come to the rescue, while Interpol brings Decker in hoping to unnerve him. Before the SWAT teams storm the bank, Mason must use every tool in his arsenal to not only escape with the prize, but also the love of his life.",2024-04-26,,,,6.3,182,14.9591,Randall Emmett,"John Travolta, Kristin Davis, Lukas Haas",,2651.0,4.8,4.6,2.0,R,['Action']
A Real Pain,A Real Pain,tt21823606,90,en,['US'],Mismatched cousins David and Benji reunite for a tour through Poland to honor their beloved grandmother. The adventure takes a turn when the pair's old tensions resurface against the backdrop of their family history.,2024-11-01,https://www.searchlightpictures.com/a-real-pain,3000000.0,20581325.0,6.769,795,15.4654,Jesse Eisenberg,"Kieran Culkin, Jesse Eisenberg, Olha Bosova",Won 1 Oscar. 66 wins & 90 nominations total,75142.0,7.1,8.5,9.6,R,"['Comedy', 'Drama']"
The Ministry of Ungentlemanly Warfare,The Ministry of Ungentlemanly Warfare,tt5177120,120,en,['US'],"During World War II, the British Army assigns a group of competent soldiers to carry out a mission against the Nazi forces behind enemy lines... A true story about a secret British WWII organization – the Special Operations Executive. Founded by Winston Churchill, their irregular warfare against the Germans helped to change the course of the war, and gave birth to modern black operations.",2024-04-18,https://www.theministryofungentlemanlywarfare.movie/,60000000.0,29715044.0,7.078,1417,12.6911,Guy Ritchie,"Henry Cavill, Alan Ritchson, Alex Pettyfer",1 nomination total,126876.0,6.8,5.5,6.8,R,"['Action', 'Comedy', 'War']"
We Live in Time,We Live in Time,tt27131358,108,en,['GB'],"An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.",2024-10-10,https://a24films.com/films/we-live-in-time,20000000.0,37182814.0,7.363,754,14.5441,John Crowley,"Andrew Garfield, Florence Pugh, Grace Delaney",,34806.0,7.0,5.9,7.9,R,"['Drama', 'Romance']"
Under Paris,Sous la Seine,tt13964390,104,fr,['FR'],"In order to save Paris from an international bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.",2024-06-04,https://www.netflix.com/title/81210788,,,5.948,1263,13.9533,Xavier Gens,"Bérénice Bejo, Nassim Lyes, Léa Léviant",,34515.0,5.2,5.7,6.3,TV-MA,"['Action', 'Drama', 'Horror']"
Project Silence,탈출: 프로젝트 사일런스,tt25808194,96,ko,['KR'],"Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks.",2024-07-11,,14750000.0,6283415.0,6.984,335,15.4958,Kim Tae-gon,"Lee Sun-kyun, Ju Ji-hoon, Kim Hee-won",,2926.0,5.4,,,,"['Action', 'Horror', 'Sci-Fi']"
Watchmen: Chapter II,Watchmen: Chapter II,tt32627545,89,en,['US'],"Suspicious of the events ensnaring their former colleagues, Nite Owl and Silk Spectre are spurred out of retirement to investigate. As they grapple with personal ethics, inner demons and a society turned against them, they race the clock to uncover a deepening plot that might trigger global nuclear war.",2024-11-25,https://www.warnerbros.com/movies/watchmen-chapter-ii,,,7.5,96,15.6022,"Vinton Heuck, Brandon Vietti","Troy Baker, Adrienne Barbeau, Michael Cerveris",,1659.0,7.0,,,R,"['Animation', 'Action', 'Drama']"
Joker: Folie à Deux,Joker: Folie à Deux,tt11315808,138,en,['US'],"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",2024-10-01,https://www.joker.movie,195000000.0,206400287.0,5.47,2241,14.977,Todd Phillips,"Joaquin Phoenix, Lady Gaga, Brendan Gleeson",4 wins & 18 nominations total,152614.0,5.2,4.5,3.1,R,"['Drama', 'Musical', 'Thriller']"
Drawing Closer,余命一年の僕が、余命半年の君と出会った話。,tt31078761,119,ja,['JP'],"With only a year left to live, 17-year-old Akito finds new meaning in life by bringing joy to a terminally ill girl who has just six months remaining.",2024-06-26,https://www.netflix.com/title/81581946,,,8.4,143,13.8427,Takahiro Miki,"Ren Nagase, Natsuki Deguchi, Mayu Yokota",,1985.0,7.6,,,TV-14,"['Drama', 'Romance']"
